continent,country,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,outdoor,acc_case,acc_death,new_case,new_death,continent_marker
Americas,The Bahamas,2020-03-08,0.14285714285714285,3.4285714285714284,6.285714285714286,1.2857142857142858,1.0,0.14285714285714285,2.4285714285714284,0.0,0.0,0.0,0.0,3.1130408410185906
Americas,The Bahamas,2020-03-15,-2.0,9.714285714285714,7.428571428571429,-4.0,1.7142857142857142,-0.14285714285714285,2.5714285714285707,0.0,0.0,0.0,0.0,2.9023516637959186
Americas,The Bahamas,2020-03-22,-30.714285714285715,3.4285714285714284,-12.0,-26.714285714285715,-22.714285714285715,11.571428571428571,-17.74285714285714,2.4285714285714284,0.0,0.5714285714285714,0.0,3.0591418684261678
Americas,The Bahamas,2020-03-29,-63.714285714285715,-28.857142857142858,-42.285714285714285,-72.28571428571429,-57.857142857142854,27.428571428571427,-53.00000000000001,7.714285714285714,0.0,1.0,0.0,2.9359686487045025
Americas,The Bahamas,2020-04-05,-72.85714285714286,-50.285714285714285,-57.0,-85.28571428571429,-67.0,32.0,-66.48571428571428,21.857142857142858,1.5714285714285714,2.4285714285714284,0.5714285714285714,3.0196855363047375
Americas,The Bahamas,2020-04-12,-75.0,-51.285714285714285,-61.0,-90.0,-73.71428571428571,34.285714285714285,-70.2,39.57142857142857,7.142857142857143,2.5714285714285716,0.5714285714285714,2.9633547851291295
Americas,The Bahamas,2020-04-19,-69.0,-43.857142857142854,-56.142857142857146,-87.85714285714286,-68.0,31.571428571428573,-64.97142857142858,51.714285714285715,8.428571428571429,1.2857142857142858,0.14285714285714285,3.054484838434334
Americas,The Bahamas,2020-04-26,-65.28571428571429,-38.142857142857146,-48.57142857142857,-86.85714285714286,-62.142857142857146,29.285714285714285,-60.199999999999996,70.42857142857143,10.142857142857142,3.5714285714285716,0.2857142857142857,3.0278993144045763
Americas,The Bahamas,2020-05-03,-61.285714285714285,-33.285714285714285,-43.285714285714285,-85.14285714285714,-60.285714285714285,27.285714285714285,-56.65714285714286,81.14285714285714,11.0,0.42857142857142855,0.0,2.905107686000036
Americas,The Bahamas,2020-05-10,-56.0,-29.428571428571427,-36.285714285714285,-81.14285714285714,-55.285714285714285,26.0,-51.628571428571426,90.28571428571429,11.0,1.2857142857142858,0.0,2.971737993137771
Americas,The Bahamas,2020-05-17,-58.0,-30.857142857142858,-43.42857142857143,-82.14285714285714,-54.285714285714285,26.0,-53.74285714285714,94.85714285714286,11.0,0.5714285714285714,0.0,3.1389245370592436
Americas,The Bahamas,2020-05-24,-53.42857142857143,-25.428571428571427,-37.42857142857143,-79.71428571428571,-50.857142857142854,24.0,-49.37142857142857,97.57142857142857,11.0,0.5714285714285714,0.0,3.169450223694512
Africa,Togo,2020-02-16,-2.5,-1.5,-4.5,-4.0,0.0,1.0,-2.5,0.0,0.0,0.0,0.0,1.9684655648565794
Africa,Togo,2020-02-23,-12.571428571428571,-7.285714285714286,-8.285714285714286,-10.0,-7.142857142857143,3.4285714285714284,-9.057142857142855,0.0,0.0,0.0,0.0,1.9696421327873046
Africa,Togo,2020-03-01,-7.714285714285714,-3.7142857142857144,1.5714285714285714,-5.428571428571429,0.7142857142857143,2.4285714285714284,-2.914285714285714,0.0,0.0,0.0,0.0,2.128189779988502
Africa,Togo,2020-03-08,-4.285714285714286,-0.2857142857142857,6.0,-1.7142857142857142,2.4285714285714284,2.142857142857143,0.42857142857142855,0.42857142857142855,0.0,0.14285714285714285,0.0,2.003647757352931
Africa,Togo,2020-03-15,-5.142857142857143,-1.0,6.285714285714286,-4.571428571428571,2.142857142857143,1.7142857142857142,-0.45714285714285713,1.0,0.0,0.0,0.0,1.9777629179678031
Africa,Togo,2020-03-22,-13.285714285714286,-3.0,1.0,-12.0,-0.42857142857142855,5.428571428571429,-5.542857142857143,6.428571428571429,0.0,2.142857142857143,0.0,2.107639259430706
Africa,Togo,2020-03-29,-29.142857142857142,-17.285714285714285,-12.285714285714286,-32.0,-16.142857142857142,16.142857142857142,-21.37142857142857,22.714285714285715,0.42857142857142855,1.2857142857142858,0.14285714285714285,2.0317772597914643
Africa,Togo,2020-04-05,-35.42857142857143,-25.428571428571427,-18.857142857142858,-42.0,-22.285714285714285,18.714285714285715,-28.800000000000004,37.714285714285715,2.142857142857143,2.7142857142857144,0.2857142857142857,2.005185063607157
Africa,Togo,2020-04-12,-34.714285714285715,-22.428571428571427,-16.714285714285715,-43.285714285714285,-20.285714285714285,18.571428571428573,-27.48571428571429,70.57142857142857,3.0,4.571428571428571,0.0,1.9918519784552025
Africa,Togo,2020-04-19,-35.0,-23.857142857142858,-17.857142857142858,-40.714285714285715,-22.285714285714285,19.428571428571427,-27.942857142857143,81.0,4.142857142857143,1.1428571428571428,0.2857142857142857,2.0548077903380864
Africa,Togo,2020-04-26,-34.0,-23.714285714285715,-17.285714285714285,-37.857142857142854,-15.571428571428571,18.285714285714285,-25.685714285714287,90.0,6.0,2.0,0.14285714285714285,2.0521035200928828
Africa,Togo,2020-05-03,-34.285714285714285,-22.571428571428573,-13.714285714285714,-39.42857142857143,-24.142857142857142,20.0,-26.828571428571426,113.14285714285714,7.857142857142857,3.7142857142857144,0.42857142857142855,2.0838574663607123
Africa,Togo,2020-05-10,-29.714285714285715,-16.285714285714285,-10.0,-36.714285714285715,-9.857142857142858,16.571428571428573,-20.514285714285712,141.28571428571428,9.571428571428571,7.142857142857143,0.2857142857142857,1.9963805774911003
Africa,Togo,2020-05-17,-26.142857142857142,-13.142857142857142,-9.0,-31.142857142857142,-7.0,14.571428571428571,-17.28571428571429,242.71428571428572,11.0,18.142857142857142,0.0,1.9428741828901497
Africa,Togo,2020-05-24,-26.571428571428573,-15.142857142857142,-7.285714285714286,-36.857142857142854,-11.571428571428571,16.285714285714285,-19.485714285714288,354.14285714285717,12.0,11.428571428571429,0.14285714285714285,1.9561902005540552
Americas,Trinidad and Tobago,2020-02-16,11.5,6.5,19.5,6.5,2.5,-0.5,9.3,0.0,0.0,0.0,0.0,2.914441909052706
Americas,Trinidad and Tobago,2020-02-23,13.714285714285714,11.857142857142858,38.42857142857143,19.857142857142858,0.0,-0.8571428571428571,16.771428571428572,0.0,0.0,0.0,0.0,3.0469805671528074
Americas,Trinidad and Tobago,2020-03-01,0.5714285714285714,2.7142857142857144,47.714285714285715,11.571428571428571,-24.285714285714285,5.428571428571429,7.6571428571428575,0.0,0.0,0.0,0.0,3.0613628796310794
Americas,Trinidad and Tobago,2020-03-08,4.857142857142857,9.571428571428571,4.714285714285714,5.0,1.7142857142857142,0.5714285714285714,5.171428571428572,0.0,0.0,0.0,0.0,2.949889106224032
Americas,Trinidad and Tobago,2020-03-15,-4.714285714285714,10.857142857142858,-6.0,-9.285714285714286,-1.5714285714285714,2.4285714285714284,-2.142857142857143,0.5714285714285714,0.0,0.2857142857142857,0.0,3.104567585626597
Americas,Trinidad and Tobago,2020-03-22,-31.142857142857142,1.0,-27.285714285714285,-37.857142857142854,-25.428571428571427,13.142857142857142,-24.142857142857142,19.0,0.0,6.857142857142857,0.0,2.907703621956679
Americas,Trinidad and Tobago,2020-03-29,-31.0,3.0,-32.714285714285715,-55.714285714285715,-30.714285714285715,15.428571428571429,-29.428571428571427,64.42857142857143,1.4285714285714286,4.0,0.42857142857142855,2.9990455564454335
Americas,Trinidad and Tobago,2020-04-05,-67.0,-39.285714285714285,-63.714285714285715,-77.0,-62.0,27.285714285714285,-61.8,94.0,5.0,3.7142857142857144,0.5714285714285714,3.039422578680297
Americas,Trinidad and Tobago,2020-04-12,-67.14285714285714,-32.857142857142854,-60.142857142857146,-77.0,-62.57142857142857,26.428571428571427,-59.942857142857136,108.85714285714286,8.0,1.2857142857142858,0.14285714285714285,3.0205094896158937
Americas,Trinidad and Tobago,2020-04-19,-68.0,-34.42857142857143,-58.42857142857143,-78.14285714285714,-60.142857142857146,26.142857142857142,-59.82857142857143,113.71428571428571,8.0,0.14285714285714285,0.0,3.0464149271783447
Americas,Trinidad and Tobago,2020-04-26,-66.42857142857143,-31.0,-55.857142857142854,-77.14285714285714,-54.714285714285715,24.571428571428573,-57.028571428571425,114.85714285714286,8.0,0.14285714285714285,0.0,3.0221806403279925
Americas,Trinidad and Tobago,2020-05-03,-60.714285714285715,-23.428571428571427,-50.42857142857143,-74.42857142857143,-51.57142857142857,22.285714285714285,-52.11428571428571,116.0,8.0,0.14285714285714285,0.0,2.916856637877822
Americas,Trinidad and Tobago,2020-05-10,-55.857142857142854,-16.142857142857142,-44.57142857142857,-70.71428571428571,-45.42857142857143,21.285714285714285,-46.542857142857144,116.0,8.0,0.0,0.0,2.990649324670099
Americas,Trinidad and Tobago,2020-05-17,-47.285714285714285,-21.0,-36.57142857142857,-68.71428571428571,-41.857142857142854,20.0,-43.08571428571428,116.0,8.0,0.0,0.0,2.905624358570737
Americas,Trinidad and Tobago,2020-05-24,-42.142857142857146,-14.285714285714286,-30.714285714285715,-65.42857142857143,-37.285714285714285,18.428571428571427,-37.971428571428575,116.0,8.0,0.0,0.0,2.9988633037699444
Asia and Oceania,Turkey,2020-02-16,4.5,4.5,1.5,-1.0,6.0,0.5,3.1,0.0,0.0,0.0,0.0,0.9950762562633441
Asia and Oceania,Turkey,2020-02-23,1.7142857142857142,3.142857142857143,4.571428571428571,0.7142857142857143,8.142857142857142,-0.8571428571428571,3.6571428571428575,0.0,0.0,0.0,0.0,1.0311924329547877
Asia and Oceania,Turkey,2020-03-01,0.7142857142857143,4.285714285714286,9.428571428571429,0.8571428571428571,8.714285714285714,-0.7142857142857143,4.799999999999999,0.0,0.0,0.0,0.0,0.972213342568784
Asia and Oceania,Turkey,2020-03-08,7.857142857142857,9.714285714285714,26.571428571428573,6.571428571428571,10.0,-2.2857142857142856,12.142857142857142,0.0,0.0,0.0,0.0,1.075396778077083
Asia and Oceania,Turkey,2020-03-15,-0.7142857142857143,12.0,13.142857142857142,0.0,7.714285714285714,-0.8571428571428571,6.42857142857143,2.5714285714285716,0.0,0.8571428571428571,0.0,0.9491880139086983
Asia and Oceania,Turkey,2020-03-22,-39.57142857142857,-1.5714285714285714,-25.857142857142858,-35.57142857142857,-24.285714285714285,11.571428571428571,-25.37142857142857,374.2857142857143,6.857142857142857,175.71428571428572,4.285714285714286,1.00486873366872
Asia and Oceania,Turkey,2020-03-29,-60.42857142857143,-23.285714285714285,-42.285714285714285,-57.57142857142857,-42.142857142857146,18.714285714285715,-45.14285714285715,4540.0,78.0,1140.142857142857,14.428571428571429,0.9142265070249656
Asia and Oceania,Turkey,2020-04-05,-64.14285714285714,-27.857142857142858,-49.285714285714285,-65.0,-48.42857142857143,22.0,-50.942857142857136,18585.14285714286,359.2857142857143,2550.285714285714,63.285714285714285,0.9803271349407465
Asia and Oceania,Turkey,2020-04-12,-71.42857142857143,-40.714285714285715,-55.857142857142854,-71.28571428571429,-57.57142857142857,25.0,-59.371428571428574,42998.0,914.1428571428571,4269.571428571428,89.14285714285714,0.9957908208357907
Asia and Oceania,Turkey,2020-04-19,-66.42857142857143,-24.857142857142858,-48.285714285714285,-67.28571428571429,-54.714285714285715,22.285714285714285,-52.314285714285724,73846.57142857143,1648.0,4192.857142857143,117.0,1.035834117796561
Asia and Oceania,Turkey,2020-04-26,-72.57142857142857,-38.0,-56.142857142857146,-73.0,-61.285714285714285,25.571428571428573,-60.199999999999996,101407.14285714286,2482.4285714285716,3403.4285714285716,112.57142857142857,1.133492875284981
Asia and Oceania,Turkey,2020-05-03,-67.85714285714286,-28.142857142857142,-46.57142857142857,-66.85714285714286,-55.142857142857146,23.142857142857142,-52.91428571428571,119645.57142857143,3162.5714285714284,2273.5714285714284,84.57142857142857,1.057102112892381
Asia and Oceania,Turkey,2020-05-10,-60.42857142857143,-15.571428571428571,-36.0,-59.857142857142854,-45.0,19.285714285714285,-43.371428571428574,133422.2857142857,3631.4285714285716,1801.7142857142858,55.57142857142857,1.0331180549444372
Asia and Oceania,Turkey,2020-05-17,-53.714285714285715,-7.714285714285714,-22.0,-54.0,-40.142857142857146,16.571428571428573,-35.51428571428571,144724.0,3997.8571428571427,1539.7142857142858,50.57142857142857,0.9348941726692441
Asia and Oceania,Turkey,2020-05-24,-60.0,-11.857142857142858,-33.57142857142857,-61.142857142857146,-52.57142857142857,20.428571428571427,-43.82857142857142,153622.2857142857,4252.142857142857,1056.0,28.571428571428573,0.9235239281637677
Africa,Uganda,2020-02-16,3.5,1.5,-3.0,3.0,5.5,1.0,2.1,0.0,0.0,0.0,0.0,1.9536354389327606
Africa,Uganda,2020-02-23,-0.5714285714285714,-2.2857142857142856,-5.285714285714286,-0.8571428571428571,8.142857142857142,-0.14285714285714285,-0.17142857142857143,0.0,0.0,0.0,0.0,1.9930536224168691
Africa,Uganda,2020-03-01,0.42857142857142855,-0.2857142857142857,-6.285714285714286,-0.14285714285714285,8.857142857142858,-0.2857142857142857,0.5142857142857143,0.0,0.0,0.0,0.0,2.027328020829807
Africa,Uganda,2020-03-08,4.0,2.0,-4.857142857142857,0.5714285714285714,10.714285714285714,-0.2857142857142857,2.485714285714286,0.0,0.0,0.0,0.0,2.08237484109908
Africa,Uganda,2020-03-15,0.5714285714285714,1.8571428571428572,-4.857142857142857,-1.8571428571428572,9.714285714285714,0.14285714285714285,1.0857142857142859,0.0,0.0,0.0,0.0,1.9704045469530673
Africa,Uganda,2020-03-22,-7.571428571428571,2.142857142857143,-7.857142857142857,-7.0,5.285714285714286,2.2857142857142856,-3.0,0.2857142857142857,0.0,0.14285714285714285,0.0,1.9700117586747172
Africa,Uganda,2020-03-29,-36.0,-19.428571428571427,-11.571428571428571,-42.857142857142854,-24.428571428571427,15.285714285714286,-26.857142857142858,18.857142857142858,0.0,4.571428571428571,0.0,1.9394371848350584
Africa,Uganda,2020-04-05,-64.85714285714286,-52.0,-17.142857142857142,-67.85714285714286,-54.0,29.714285714285715,-51.17142857142857,44.857142857142854,0.0,2.7142857142857144,0.0,2.019613895757776
Africa,Uganda,2020-04-12,-68.42857142857143,-55.42857142857143,-19.142857142857142,-70.57142857142857,-54.57142857142857,31.0,-53.62857142857143,52.857142857142854,0.0,0.2857142857142857,0.0,1.9005809600879264
Africa,Uganda,2020-04-19,-68.85714285714286,-57.57142857142857,-25.714285714285715,-72.42857142857143,-53.142857142857146,30.857142857142858,-55.54285714285714,55.0,0.0,0.14285714285714285,0.0,2.023775054423575
Africa,Uganda,2020-04-26,-68.14285714285714,-56.285714285714285,-30.857142857142858,-73.42857142857143,-48.857142857142854,29.428571428571427,-55.51428571428571,69.0,0.0,3.4285714285714284,0.0,2.1150800548062754
Africa,Uganda,2020-05-03,-67.28571428571429,-54.142857142857146,-29.142857142857142,-72.57142857142857,-47.0,29.285714285714285,-54.02857142857143,83.42857142857143,0.0,1.4285714285714286,0.0,1.958969745117006
Africa,Uganda,2020-05-10,-63.714285714285715,-49.42857142857143,-29.285714285714285,-69.85714285714286,-42.285714285714285,27.142857142857142,-50.91428571428571,104.85714285714286,0.0,4.571428571428571,0.0,2.03972606291011
Africa,Uganda,2020-05-17,-61.285714285714285,-47.285714285714285,-29.0,-68.71428571428571,-37.857142857142854,25.0,-48.82857142857143,172.28571428571428,0.0,15.142857142857142,0.0,2.1311484867381907
Africa,Uganda,2020-05-24,-60.42857142857143,-46.285714285714285,-29.142857142857142,-68.14285714285714,-35.42857142857143,24.857142857142858,-47.885714285714286,214.71428571428572,0.0,-4.142857142857143,0.0,2.027679413178108
Asia and Oceania,United Arab Emirates,2020-02-16,0.5,4.0,4.5,0.5,2.0,1.0,2.3,8.5,0.0,4.5,0.0,0.9887572189249662
Asia and Oceania,United Arab Emirates,2020-02-23,-1.8571428571428572,1.4285714285714286,4.714285714285714,-0.2857142857142857,1.8571428571428572,1.0,1.1714285714285713,10.142857142857142,0.0,0.5714285714285714,0.0,0.9223211008115297
Asia and Oceania,United Arab Emirates,2020-03-01,-0.14285714285714285,4.285714285714286,0.5714285714285714,-1.2857142857142858,3.142857142857143,0.8571428571428571,1.3142857142857143,16.142857142857142,0.0,1.1428571428571428,0.0,0.9561541278622206
Asia and Oceania,United Arab Emirates,2020-03-08,-1.8571428571428572,6.428571428571429,-0.5714285714285714,-6.142857142857143,2.4285714285714284,2.0,0.05714285714285713,31.857142857142858,0.0,3.4285714285714284,0.0,1.0392978524728476
Asia and Oceania,United Arab Emirates,2020-03-15,-7.571428571428571,5.571428571428571,-5.285714285714286,-14.285714285714286,-1.7142857142857142,4.428571428571429,-4.6571428571428575,78.0,0.0,7.571428571428571,0.0,0.977828299258504
Asia and Oceania,United Arab Emirates,2020-03-22,-24.142857142857142,-3.142857142857143,-27.857142857142858,-32.285714285714285,-10.714285714285714,9.571428571428571,-19.62857142857143,127.85714285714286,0.8571428571428571,7.857142857142857,0.2857142857142857,0.9701071478141088
Asia and Oceania,United Arab Emirates,2020-03-29,-54.0,-22.285714285714285,-54.714285714285715,-65.57142857142857,-39.42857142857143,22.285714285714285,-47.199999999999996,365.0,2.142857142857143,59.57142857142857,0.14285714285714285,1.0803070572356872
Asia and Oceania,United Arab Emirates,2020-04-05,-59.285714285714285,-28.285714285714285,-58.0,-72.71428571428571,-46.142857142857146,25.285714285714285,-52.885714285714286,1097.2857142857142,8.0,175.57142857142858,1.0,0.9247012480198411
Asia and Oceania,United Arab Emirates,2020-04-12,-64.42857142857143,-32.714285714285715,-74.0,-79.28571428571429,-52.857142857142854,28.571428571428573,-60.65714285714285,3043.285714285714,15.285714285714286,332.0,1.7142857142857142,1.1036836456902992
Asia and Oceania,United Arab Emirates,2020-04-19,-64.42857142857143,-34.857142857142854,-76.0,-79.0,-52.57142857142857,28.857142857142858,-61.37142857142857,5718.428571428572,33.714285714285715,379.7142857142857,2.7142857142857144,1.1385391222013752
Asia and Oceania,United Arab Emirates,2020-04-26,-62.857142857142854,-33.142857142857146,-76.42857142857143,-76.14285714285714,-51.0,28.714285714285715,-59.91428571428572,8779.57142857143,58.285714285714285,509.7142857142857,5.0,0.9966550222677878
Asia and Oceania,United Arab Emirates,2020-05-03,-56.857142857142854,-26.857142857142858,-73.0,-67.42857142857143,-44.285714285714285,27.0,-53.68571428571429,12489.857142857143,104.28571428571429,544.8571428571429,7.142857142857143,0.9786938752260311
Asia and Oceania,United Arab Emirates,2020-05-10,-53.285714285714285,-24.142857142857142,-69.71428571428571,-64.28571428571429,-41.285714285714285,26.142857142857142,-50.54285714285714,16329.714285714286,166.0,576.4285714285714,10.285714285714286,0.9916869658230055
